symbol,exchange,item_type,industry_category,last_price,company_name
PEIMF,Stocks,N/A,0.04,0.04,Pepinnini Minerals Limited
AAPL,Stocks,N/A,148.96,148.96,Apple Inc.
AV.L,Stocks,N/A,532.00,532.00,Aviva plc
AZN.L,Stocks,N/A,4605.50,4605.50,AstraZeneca PLC
AAL.L,Stocks,N/A,1030.50,1030.50,Anglo American plc
AMZN,Stocks,N/A,934.15,934.15,"Amazon.com, Inc."
GOOG,Stocks,N/A,927.13,927.13,Alphabet Inc.
BATS.L,Stocks,N/A,5287.00,5287.00,British American Tobacco p.l.c.
ARM.L,Stocks,N/A,1701.90,1701.90,ARM Holdings plc
ADN.L,Stocks,N/A,294.90,294.90,Aberdeen Asset Management PLC
IAG.L,Stocks,N/A,603.50,603.50,"International Consolidated Airlines Group, S.A."
AXM.L,Stocks,N/A,0.13,0.13,Alexander Mining PLC
AVN.L,Stocks,N/A,9.38,9.38,Avanti Communications Group PLC
AST.L,Stocks,N/A,1.85,1.85,Ascent Resources plc
ACM,Stocks,N/A,33.81,33.81,AECOM
ALV.DE,Stocks,N/A,173.90,173.90,Allianz SE
88E.L,Stocks,N/A,2.85,2.85,88 Energy Limited
0QKI.L,Stocks,N/A,0.00,0.00,Swisscom AG
DAI.DE,Stocks,N/A,68.52,68.52,Daimler AG
AIR.PA,Stocks,N/A,75.88,75.88,Airbus SE
AFC.L,Stocks,N/A,12.00,12.00,AFC Energy PLC
DAL,Stocks,N/A,48.70,48.70,"Delta Air Lines, Inc."
AZN,Stocks,N/A,30.46,30.46,AstraZeneca PLC
ASY.L,Stocks,N/A,440.00,440.00,Andrews Sykes Group plc
FCR.L,Stocks,N/A,0.09,0.09,Ferrum Crescent Limited
BAC,Stocks,N/A,23.74,23.74,Bank of America Corporation
AGK.L,Stocks,N/A,858.00,858.00,Aggreko plc
ASC.L,Stocks,N/A,6011.00,6011.00,ASOS Plc
AIG,Stocks,N/A,62.71,62.71,"American International Group, Inc."
ADM.L,Stocks,N/A,2087.00,2087.00,Admiral Group plc
ABG-P.MC,Stocks,N/A,0.01,0.01,ABENGOA CLASE B
ATST.L,Stocks,N/A,689.50,689.50,Alliance Trust Ord
AON,Stocks,N/A,122.27,122.27,Aon plc
AMFW.L,Stocks,N/A,535.00,535.00,Amec Foster Wheeler plc
ABF.L,Stocks,N/A,2772.00,2772.00,Associated British Foods plc
UBS,Stocks,N/A,17.65,17.65,UBS Group AG
T,Stocks,N/A,38.56,38.56,AT&T Inc.
PAH3.DE,Stocks,N/A,53.80,53.80,Porsche Automobil Holding SE
AN.L,Stocks,N/A,334.75,334.75,Alternative Networks Plc
ACN,Stocks,N/A,121.52,121.52,Accenture plc
ABT,Stocks,N/A,44.64,44.64,Abbott Laboratories
PAAS,Stocks,N/A,16.24,16.24,Pan American Silver Corp.
OTMT.L,Stocks,N/A,0.39,0.39,Orascom Telecom Media and Technology Holding S.A.E.
CS.PA,Stocks,N/A,25.00,25.00,AXA SA
AXP,Stocks,N/A,78.32,78.32,American Express Company
ADSK,Stocks,N/A,93.24,93.24,"Autodesk, Inc."
88E.AX,Stocks,N/A,0.05,0.05,88 Energy Limited
STL.OL,Stocks,N/A,146.60,146.60,Statoil ASA
MO,Stocks,N/A,70.92,70.92,"Altria Group, Inc."
EAH.L,Stocks,N/A,502.50,502.50,ECO Animal Health Group plc
EA,Stocks,N/A,95.74,95.74,Electronic Arts Inc.
DB,Stocks,N/A,19.35,19.35,Deutsche Bank AG
ASHM.L,Stocks,N/A,358.00,358.00,Ashmore Group PLC
ARS.L,Stocks,N/A,4.97,4.97,Asiamet Resources Limited
ANTO.L,Stocks,N/A,769.00,769.00,Antofagasta plc
AMGN,Stocks,N/A,163.81,163.81,Amgen Inc.
ALDR,Stocks,N/A,20.75,20.75,"Alder Biopharmaceuticals, Inc."
AI.PA,Stocks,N/A,115.15,115.15,Air Liquide SA
AET,Stocks,N/A,140.77,140.77,Aetna Inc.
ADT.L,Stocks,N/A,330.00,330.00,AdEPT Telecom plc
ADBE,Stocks,N/A,134.84,134.84,Adobe Systems Incorporated
ACAD,Stocks,N/A,32.74,32.74,ACADIA Pharmaceuticals Inc.
ABDNF,Stocks,N/A,3.65,3.65,Aberdeen Asset Management PLC
TUI1.DE,Stocks,N/A,13.98,13.98,TUI AG
SQS.L,Stocks,N/A,474.00,474.00,SQS Software Quality Systems AG
RRL.L,Stocks,N/A,0.34,0.34,Range Resources Limited
DD,Stocks,N/A,81.14,81.14,E. I. du Pont de Nemours and Company
CZA.L,Stocks,N/A,3.00,3.00,Coal of Africa Limited
APA,Stocks,N/A,49.29,49.29,Apache Corporation
ANP.L,Stocks,N/A,320.00,320.00,Anpario plc
0R2V.L,Stocks,N/A,83.84,83.84,Apple Inc.
0H3T.L,Stocks,N/A,74.59,74.59,Deutsche Börse Aktiengesellschaft
RAI,Stocks,N/A,64.77,64.77,Reynolds American Inc.
PAF.L,Stocks,N/A,15.25,15.25,Pan African Resources PLC
MNC.L,Stocks,N/A,3.88,3.88,Metminco Limited
LUV,Stocks,N/A,58.40,58.40,Southwest Airlines Co.
JBLU,Stocks,N/A,21.51,21.51,JetBlue Airways Corporation
PKA.SG,Stocks,N/A,91.93,91.93,Packaging Corporation of America
EBS.VI,Stocks,N/A,32.55,32.55,ERSTE GROUP BANK AG
DMGT.L,Stocks,N/A,736.00,736.00,Daily Mail and General Trust plc
CS,Stocks,N/A,15.77,15.77,Credit Suisse Group AG
BKIR.L,Stocks,N/A,0.26,0.26,The Governor and Company of the Bank of Ireland
AVP,Stocks,N/A,3.70,3.70,"Avon Products, Inc."
AUK.L,Stocks,N/A,3.38,3.38,Aukett Swanke Group Plc
ARW.L,Stocks,N/A,358.50,358.50,Arrow Global Group PLC
ARRS,Stocks,N/A,27.66,27.66,ARRIS International plc
APC,Stocks,N/A,52.59,52.59,Anadarko Petroleum Corporation
AMS.L,Stocks,N/A,268.50,268.50,Advanced Medical Solutions Group plc
AMC.L,Stocks,N/A,6.05,6.05,Amur Minerals Corporation
ABX,Stocks,N/A,16.15,16.15,Barrick Gold Corporation
AAPL.SW,Stocks,N/A,146.60,146.60,Apple Inc.
888.L,Stocks,N/A,286.50,286.50,888 Holdings plc
WIZZ.L,Stocks,N/A,1800.00,1800.00,Wizz Air Holdings Plc
VWS.CO,Stocks,N/A,621.00,621.00,Vestas Wind Systems A/S
VRSK,Stocks,N/A,79.76,79.76,"Verisk Analytics, Inc."
VOE.VI,Stocks,N/A,39.02,39.02,VOESTALPINE AG
UA,Stocks,N/A,19.09,19.09,"Under Armour, Inc."
SCAM.L,Stocks,N/A,345.00,345.00,Scottish American Ord
ROG.VX,Stocks,N/A,268.90,268.90,Roche Holding AG
